TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,CNT_CHILDREN,EMPLOYMENT_YEARS,EDU_SCORE,INCOME_TYPE_SCORE,REVOLVING_FLAG
0,90000.0,270000.0,13500.0,1,1.0431211498973305,0.4,0.5,1.0
0,270000.0,1288350.0,37800.0,1,4.70362765229295,0.4,0.5,0.0
1,153000.0,608076.0,23053.5,0,10.584531143052704,0.4,0.5,0.0
0,283500.0,1467612.0,56029.5,2,2.1190965092402463,0.4,0.5,0.0
0,90000.0,360000.0,17509.5,0,2.2477754962354553,0.85,0.5,0.0
0,162000.0,526500.0,28692.0,0,3.682409308692676,0.4,0.5,0.0
1,135000.0,457834.5,33444.0,1,5.166324435318275,0.4,0.5,0.0
1,112500.0,690048.0,22257.0,2,0.29021218343600275,0.4,0.5,0.0
0,90000.0,247500.0,12375.0,0,2.083504449007529,0.85,0.6,1.0
1,202500.0,210456.0,16758.0,0,1.4182067077344285,0.4,0.5,0.0
0,180000.0,281493.0,24079.5,0,2.1409993155373033,0.4,0.6,0.0
0,315000.0,971280.0,97177.5,1,0.6899383983572895,0.4,0.5,0.0
1,144000.0,469152.0,28350.0,2,0.4188911704312115,0.4,0.5,0.0
1,315000.0,472500.0,15372.0,1,8.895277207392198,0.4,0.6,0.0
0,135000.0,526491.0,32337.0,1,0.7474332648870636,0.4,0.5,0.0
0,90000.0,315000.0,15750.0,0,8.851471594798083,0.4,0.5,1.0
0,90000.0,1078200.0,31522.5,0,1.8234086242299794,0.4,0.65,0.0
0,67500.0,607500.0,20205.0,0,6.321697467488022,0.4,0.5,0.0
1,180000.0,855000.0,34821.0,1,2.625598904859685,0.4,0.5,0.0
1,112500.0,197820.0,15664.5,2,5.262149212867898,0.4,0.5,0.0
1,112500.0,490005.0,29740.5,1,3.405886379192334,0.4,0.6,0.0
0,112500.0,814041.0,23931.0,2,0.7364818617385352,0.4,0.5,0.0
0,315000.0,1968529.5,54261.0,2,5.2648870636550305,0.85,0.6,0.0
0,126000.0,207306.0,10714.5,0,2.461327857631759,0.85,0.6,0.0
0,112500.0,264888.0,27945.0,1,0.5147159479808351,0.85,0.6,0.0
0,225000.0,526491.0,33777.0,0,6.937713894592744,0.4,0.5,0.0
0,157500.0,364896.0,25524.0,0,34.39835728952772,0.4,0.5,0.0
0,405000.0,296280.0,13180.5,1,22.102669404517453,0.4,0.65,0.0
0,67500.0,616261.5,20497.5,0,7.293634496919918,0.4,0.5,0.0
0,369000.0,436032.0,20457.0,0,19.61122518822724,0.4,0.6,0.0
0,108000.0,180000.0,9000.0,1,0.31485284052019163,0.4,0.6,1.0
